date,PM2.5,PM10
6/1/2017,61,38
6/2/2017,60,39
6/3/2017,40,26
6/4/2017,45,28
6/5/2017,53,35
6/6/2017,46,29
6/7/2017,50,34
6/8/2017,53,35
6/9/2017,47,31
6/10/2017,57,39
6/11/2017,60,45
6/12/2017,73,51
6/13/2017,69,44
6/14/2017,59,39
6/15/2017,82,57
6/16/2017,77,55
6/17/2017,72,50
6/18/2017,58,35
6/19/2017,64,41
6/20/2017,71,45
6/21/2017,62,44
6/22/2017,69,41
6/23/2017,52,32
6/24/2017,50,32
6/25/2017,56,33
6/26/2017,56,34
6/27/2017,60,36
6/28/2017,49,29
6/29/2017,62,37
6/30/2017,58,34
7/1/2017,59,40
7/2/2017,63,40
7/3/2017,58,40
7/4/2017,59,43
7/5/2017,58,39
7/6/2017,56,30
7/7/2017,44,40
7/8/2017,57,28
7/9/2017,51,40
7/10/2017,61,41
7/11/2017,67,38
7/12/2017,67,40
7/13/2017,60,39
7/14/2017,62,41
7/15/2017,70,36
7/16/2017,62,37
7/17/2017,60,39
7/18/2017,61,32
7/19/2017,62,36
7/20/2017,65,36
7/21/2017,65,33
7/22/2017,55,31
7/23/2017,62,36
7/24/2017,63,34
7/25/2017,57,30
7/26/2017,55,37
7/27/2017,62,27
7/28/2017,58,36
7/29/2017,65,42
7/30/2017,72,45
7/31/2017,72,50
8/1/2017,78,44
8/2/2017,72,45
8/3/2017,75,41
8/4/2017,67,34
8/5/2017,62,37
8/6/2017,66,31
8/7/2017,63,33
8/8/2017,62,36
8/9/2017,59,39
8/10/2017,62,35
8/11/2017,57,22
8/12/2017,50,25
8/13/2017,53,35
8/14/2017,60,33
8/15/2017,58,31
8/16/2017,62,27
8/17/2017,57,44
8/18/2017,73,45
8/19/2017,64,26
8/20/2017,51,30
8/21/2017,54,51
8/22/2017,62,47
8/23/2017,58,42
8/24/2017,65,42
8/25/2017,63,36
8/26/2017,63,25
8/27/2017,53,34
8/28/2017,59,45
8/29/2017,73,49
8/30/2017,75,38
8/31/2017,65,41
9/1/2017,65,51
9/2/2017,66,31
